Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
0RJ2400C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF2400 240OHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,4,EA,G,Assembly Pull,"R407,R408,R409,R416",,,1|1|1|1,|||,,,,4,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
0RJ3002C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF303 30KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R8059,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ3002D477,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPFX3002 30KOHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R8101,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ3300C678,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ331 330OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,4,EA,D,Assembly Pull,"R3363,R3364,R3365,R9704",,,1|1|1|1,|||,,,,4,N,"ROHM CO.,LTD.",Y,
0RJ3301C678,4,1,Release,,2,,,,B,"Resistor,Chip","MCR01MZPJ332 3.3KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R1404,R4122",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
0RJ3301D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPJ332 3.3KOHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R4116,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ3302D477,4,1,Release,,2,,,,B,"Resistor,Chip","MCR03EZP5FX3302 33KOHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R1900,,,1,,,,,1,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
0RJ3902C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF393 39KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R7003,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ4700C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ471 470OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R9168,R9169",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
0RJ4701C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF472 4.7KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R5301,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ4701C678,4,1.2,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ472 4.7KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,6,EA,G,Assembly Pull,"R1011,R1012,R206,R237,R4703,R6806",,,1|1|1|1|1|1,|||||,,,,6,N,"COWELL FASHION CO., LTD",Y,
0RJ4702C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF4702 47KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,D,Assembly Pull,"R1701,R8102",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ4702C678,4,1.2,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ473 47KOHM 5% 1/16W 1005 R/TP - ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R8048,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ5101C478,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Chip","MCR01MZPF512 5.1KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1706,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ5101C678,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ512 5.1KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R3301,R3308",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
0RJ6201C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF622 6.2KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R623,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ6801C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF6801 6.8KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,D,Assembly Pull,"R1400,R8054",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
0RJ6801C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ682 6.8KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R4120,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ7502C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF753 75KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,3,EA,G,Assembly Pull,"R1901,R2104,R2500",,,1|1|1,||,,,,3,N,"COWELL FASHION CO., LTD",Y,
0RJ8201C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF8201 8.2KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1317,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RZZH033273,4,1,Release,,3,,,,B,"Resistor,Array","MNR04M0ABJ330 33OHM 5% 1/16W 4 SMD R/TP 8P P 1005X4  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,AR900,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0TR390609DC,4,1,Release,,3,,,,B,"TR,Bipolar","2N3906S-RTK PNP -5V -40V -40V -0.2A -0.00000005A 100 @ IC=-1mA, VCE=-10V 350mW SOT23 R/TP 3P -0.4V  KEC CORP.",,1,EA,G,Assembly Pull,Q1000,,,1,,,,,1,N,KEC CORP.,Y,
0TRKE80046A,4,1,Release,,3,,,,B,"TR,Bipolar",2N3904S NPN 6V 60V 40V 200mA 50NA 100TO300 350mW SOT23 R/TP 3P -  KEC CORP.,,3,EA,G,Assembly Pull,"Q100,Q1400,Q5300",,,1|1|1,||,,,,3,N,KEC CORP.,Y,
6322A00028C,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Thermistor,NTC","TSM0B473F4051RZA 47KOHM 1% 5V 46UA 4.05KK SMD R/TP -  Thinking Electronic Industrial Co., Ltd.",,1,EA,G,Assembly Pull,TH8000,,,1,,,,,1,N,"Thinking Electronic Industrial Co., Ltd.",Y,
EAE30276501,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005C0G181J500NR 180 pF 5% 50V C0G -55TO+125C 1005 R/TP - -  SAMWHA CAPACITOR CO, LTD.",,15,EA,G,Assembly Pull,"C6801,C6803,C6804,C8006,C8008,C8054,C8062,C8064,C8065,C8066,C8067,C8068,C8071,C8093,C8094",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||||,,,,15,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE32166101,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005X7R473K250NR 47 nF 10% 25V X7R -55TO+125C 1005 R/TP - -  SAMWHA CAPACITOR CO, LTD.",,3,EA,G,Assembly Pull,"C633,C635,C8055",,,1|1|1,||,,,,3,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE32166601,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005C0G391J500NR 390 pF 5% 50V C0G -55TO+125C 1005 R/TP - -  SAMWHA CAPACITOR CO, LTD.",,4,EA,G,Assembly Pull,"C5300,C5301,C5302,C5312",,,1|1|1|1,|||,,,,4,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE32479401,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005C0G471J500NR 470 pF 5% 50V C0G -55TO+125C 1005 R/TP - -  SAMWHA CAPACITOR CO, LTD.",,2,EA,G,Assembly Pull,"C1703,C2106",,,1|1,|,,,,2,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE52158501,4,1.1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS2012X7R106K100NRE 10 uF 10% 10V X7R -55TO+125C 2012 R/TP 1.25 -  SAMWHA CAPACITOR CO, LTD.",,23,EA,G,Assembly Pull,"C1401,C1402,C1601,C1902,C2505,C2507,C375,C378,C4700,C4701,C4703,C4704,C8012,C8014,C8015,C8100,C8103,C902,C9703,C9906,C9907,C9908,C9909",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||||||||||||,,,,23,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE60659102,4,1,Working,,2,,KAMILA KRAJEWSKA(kamila.krajewska),,B,"Capacitor,AL,Chip",BXJ25VC22ME56TP 22uF -20TO20% 25V 62mA -55TO+105C BXJ 2000HR 5X5.3MM R/TP  SAMYOUNG ELECTRONICS CO. LTD,,1,EA,G,Assembly Pull,C7019,,,1,,,,,1,N,SAMYOUNG ELECTRONICS CO. LTD,Y,
EAE60663801,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","GRM21BR71E225KA73L 2.2 uF 10% 25V X7R -55TO+125C 2012 R/TP 0.85 - MURATA MANUFACTURING CO.,LTD.",,1,EA,G,Assembly Pull,C8023,,,1,,,,,1,N,"MURATA MANUFACTURING CO.,LTD.",Y,
EAE61081701,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","GRM31CR71E106KA12 10 uF +-10% 25V X7R -55TO+125C 3216 R/TP 1.6 -  MURATA MANUFACTURING CO.,LTD.",,5,EA,G,Assembly Pull,"C9901,C9902,C9903,C9904,C9905",,,1|1|1|1|1,||||,,,,5,N,"MURATA MANUFACTURING CO.,LTD.",Y,
EAE62082801,4,1,Release,1,2,,,,B,"Capacitor,Ceramic,Chip","GRM188R71H224KAC4D 220 nF 10% 50V X7R -55TO+125C 1608 R/TP 0.9 -  MURATA MANUFACTURING CO.,LTD.",,6,EA,G,Assembly Pull,"C5303,C5304,C5305,C5306,C7004,C7021",,,1|1|1|1|1|1,|||||,,,,6,N,"MURATA MANUFACTURING CO.,LTD.",Y,
EAE62303301,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","GRM188R71A225M 2.2 uF 20% 10V X7R -55TO+125C 1608 R/TP - -  MURATA MANUFACTURING CO.,LTD.",,6,EA,G,Assembly Pull,"C1014,C4111,C8050,C8806,C8808,C8810",,,1|1|1|1|1|1,|||||,,,,6,N,"MURATA MANUFACTURING CO.,LTD.",Y,
EAE62772301,4,1,Release,1,3,,,,B,"Capacitor,Ceramic,Chip","GRM21BR71E475KA73L 4.7 uF 10% 25V X7R -55TO+125C 2012 TP - -  GUANG DONG FENG HUA GAO XIN JI SHU GU FEN CO.,LTD",,18,EA,G,Assembly Pull,"C8010,C8011,C8013,C8022,C8024,C8030,C8041,C8044,C8049,C8051,C8059,C8060,C8074,C8077,C8079,C8080,C8090,C8091",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||||||||,,,,18,N,"GUANG DONG FENG HUA GAO XIN JI SHU GU FEN CO.,LTD",Y,
EAE66007201,4,1,Release,1,3,,,,B,"Capacitor,AL,Chip","CA1H476M0806BVR 47uF -20TO20% 50V 210mA -55TO+105C CA 5000HR 8X6.2MM R/TP  SAMYOUNG ELECTRONICS CO., LTD.",,1,EA,G,Assembly Pull,C8046,,,1,,,,,1,N,"SAMYOUNG ELECTRONICS CO., LTD.",N,
EAE66279001,4,1,Release,,2,,,,B,"Capacitor,Ceramic,Chip","CS3216X7R102K202NRE 1 nF 10% 2000V X7R -55TO+125C 3216 TP/REEL - -  SAMWHA CAPACITOR CO., LTD.",,1,EA,G,Assembly Pull,C5000,,,1,,,,,1,N,"SAMWHA CAPACITOR CO., LTD.",N,
EAE66302101,4,1,Release,1,3,,,,B,"Capacitor,Ceramic,Chip",GRM21BC81E106KE51 10 uF -10TO+10% 25V X6S -55TO+105C 2012 R/TP T(1.25) - KOREA MURATA ELECTRONICS CO.  LTD.,,17,EA,G,Assembly Pull,"C1502,C1709,C2100,C2348,C2357,C2512,C5317,C5318,C7009,C7016,C8007,C8025,C8028,C8040,C8042,C8043,C8063",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||||||,,,,17,N,KOREA MURATA ELECTRONICS CO.  LTD.,Y,
EAE66306801,4,1,Release,1,2,,,,B,"Capacitor,Ceramic,Chip","CS2012X7R684K500NRE 0.68 uF +-10% 50V X7R -55TO+125C 2012 R/TP T:1.25 -  SAMWHA CAPACITOR CO, LTD.",,4,EA,D,Assembly Pull,"C5333,C5334,C5335,C5336",,,1|1|1|1,|||,,,,4,N,"SAMWHA CAPACITOR CO, LTD.",Y,
EAE66354401,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Capacitor,Ceramic,Chip","CL21X226MQQNNNE 22 uF +-20% 6.3V X6S -55TO+105C 2012 R/TP - -  SAMSUNG ELECTRO-MECHANICS CO., LTD.",,19,EA,G,Assembly Pull,"C1505,C1506,C1704,C1706,C1903,C2101,C2103,C2320,C2321,C2322,C2355,C343,C349,C355,C4104,C423,C424,C441,C6522",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||||||||,,,,19,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
EAE66354501,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Capacitor,Ceramic,Chip","CL10X226MQ8QRWC 22 uF +-20% 6.3V X6S -55TO+105C 1608 R/TP - - SAMSUNG ELECTRO-MECHANICS CO., LTD.",,8,EA,G,Assembly Pull,"C301,C302,C305,C331,C366,C389,C391,C397",,,1|1|1|1|1|1|1|1,|||||||,,,,8,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
EAF61530102,4,1,Release,1,2,,,,B,Varistor,"ICVS0505201FR ; 5.6V 15% 200pF 1.0X0.5X0.6 NONE SMD R/TP  Moda-InnoChips Co., Ltd.",,3,EA,G,Assembly Pull,"VA3306,VA3309,VA3315",,,1|1|1,||,,,,3,N,"Moda-InnoChips Co., Ltd.",Y,
EAF64547504,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,Varistor,TVS0402E180-100Y 20V 30% 10pF 1005 NONE SMD REEL  TAI-TECH ADVANCED ELECTRONICS CO . LTD,,6,EA,D,Assembly Pull,"VA3304,VA3305,VA3310,VA3313,VA3317,VA3318",,,1|1|1|1|1|1,|||||,,,,6,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAG00473601,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Connector,FFC/FPC/PIC","CUS-1310025-68CB1N002, 68P, 0.50MM, EASYLOCK 68P 0.50MM FFC STRAIGHT BOTTOM SMD R/TP LOCKING - P-TWO ELECTRIC TECHNOLOGY(SUZHOU)CO.,LTD",,2,EA,D,Assembly Pull,"P9100,P9101",,,1|1,|,,,,2,N,"P-TWO ELECTRIC TECHNOLOGY(SUZHOU)CO.,LTD",Y,
EAG00474101,4,1,Working,,2,,KAMILA KRAJEWSKA(kamila.krajewska),,B,"Connector,HDMI","C-166010072 HDMI A 1P 0.50MM ANGLE SMD R/TP 19P Ver2.1, H6.2, Lead length 1.4mm, lead align center Dongguan VAST Electronics Co.,Ltd",,3,EA,D,Assembly Pull,"JK3101,JK3102,JK3103",,,1|1|1,||,,,,3,N,"Dongguan VAST Electronics Co.,Ltd",Y,
EAG65031501,4,1,Release,1,2,,,,B,"Connector,BtoB","90042TS-B 1P NONE STRAIGHT SMD SMD R/TP 2.1mM Alternative for SMD Gasket  YEONHO ELECTRONICS CO., LTD",,3,EA,G,Assembly Pull,"M9700,M99010,M9911",,,1|1|1,||,,,,3,N,"YEONHO ELECTRONICS CO., LTD",Y,
EAH30119201,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Diode,TVS","ESDLC5V0LB 5V 5.3 8.5V 3.4A - DFN R/TP 2P 1 Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,ZD6800,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EAH64532601,4,1,Release,1,3,,,,B,"Diode,Schottky",SS2030FL 500mV 30V 2A 0SEC 100pF 0W SOD123FL R/TP 2P 1  PANJIT,,1,EA,D,Assembly Pull,D7001,,,1,,,,,1,N,PANJIT,Y,
EAH64894901,4,1,Release,1,2,,,,B,"Diode,TVS",PJSD05W 5V 6 to 7.2 14.5V 24A 350W SOD-323 REEL 2P 1 PANJIT,,1,EA,D,Assembly Pull,ZD4700,,,1,,,,,1,N,PANJIT,Y,
EAH65052821,4,1,Release,,2,,,,B,"Diode,TVS",PS05TBUL2-RTL/HUJ 5V 6V to 10V 15V 4A 60W ULP-2 REEL 2P 1  KEC CORPORATION,,1,EA,G,Assembly Pull,ZD6801,,,1,,,,,1,N,KEC CORPORATION,Y,
EAH65079001,4,1,Release,1,2,,,,B,"Diode,Switching","BAV70 1V 75V 150mA 2A 4NSEC 350mW SOT23 R/TP 3P 1  Yangzhou YANGJIE Electronic Technology Co., Ltd",,3,EA,D,Assembly Pull,"D3300,D3301,D3302",,,1|1|1,||,,,,3,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EAH65079101,4,1,Release,1,2,,,,B,"Diode,TVS","SMDJ20A 5V 24.5 32.4V 92.59A 6.5W SMC R/TP 2P 1  Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,D7004,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EAH65079401,4,1,Release,1,2,,,,B,"Diode,Schottky","SK34A SMC 630mV 40V 3A 0SEC 170pF 0W DO-214AC(SMA) REEL 2P 1  SANGDEST MICROELECTRONIC(NANJING)CO.,LTD",,2,EA,D,Assembly Pull,"D7002,D7003",,,1|1,|,,,,2,N,"SANGDEST MICROELECTRONIC(NANJING)CO.,LTD",Y,
EAH65089601,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Diode,Rectifier","SS36A - 60V 700mV 500UA 70A 0SEC SMA R/TP 2P 1 Yangzhou YANGJIE Electronic Technology Co., Ltd",,3,EA,D,Assembly Pull,"D8002,D8003,D8004",,,1|1|1,||,,,,3,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EAH65098401,4,1,Release,,2,,,,B,"Diode,Schottky","SSL54 450mV 40V 5A 0SEC 0F 0W SMC REEL 2P 1  Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,D8007,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EAM00023902,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Filter,Common Mode",CMC2012S-801-2P-T 800Ohm 2.0x1.2x0.9 - - - SMD R/TP 4P - Shenzhen Cenker Enterprise Ltd.,,2,EA,D,Assembly Pull,"L5000,L5001",,,1|1,|,,,,2,N,Shenzhen Cenker Enterprise Ltd.,Y,
EAM65804601,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Filter,Bead",HFZ1005PF-121T20 120ohm 2000mA 1005(H:0.5) - - - SMD R/TP 2P -  TAI-TECH ADVANCED ELECTRONICS CO . LTD,,7,EA,D,Assembly Pull,"L311,L316,L5300,L600,L601,L6506,L8100",,,1|1|1|1|1|1|1,||||||,,,,7,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAM65804603,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Filter,Bead",HCB2012KF-121T50 120ohm 5000mA 2012(H:0.8) - - - SMD R/TP 2P -  TAI-TECH ADVANCED ELECTRONICS CO . LTD,,4,EA,D,Assembly Pull,"L5307,L5308,L5309,L5310",,,1|1|1|1,|||,,,,4,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAN00951601,4,1,Working,,2,,,,B,"IC,DC,DC Converter","SYVL354UART 4 to 18 0.6 to 9.2 0W SOT563 R/TP 6P MSL1, 4Ast Buck 1 4 - N/A Yes Converter - silergy",,4,EA,D,Assembly Pull,"IC1500,IC1700,IC2100,IC2500",,,1|1|1|1,|||,,,,4,N,Silergy Corp.,Y,
EAN00967601,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"IC,Audio Amplifier","TAS5802 4.5V 20V 10m 0.06 12.5W 1.38W 72 2 TSSOP-PWP R/TP 28P MSL3 TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",,1,EA,D,Assembly Pull,IC5300,,,1,,,,,1,N,"TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",Y,
EAN63491301,4,1,Release,1,3,,,,B,"IC,Voltage Detector",KIC7529M2 0.7TO10V 0 350mW SOT23 R/TP 3P MSL1 - - - - - - - - KEC CORPORATION,,1,EA,G,Assembly Pull,IC1300,,,1,,,,,1,N,KEC CORPORATION,Y,
EAN63986101,4,1,Release,1,2,,,,B,"IC,Tuner",Si2151 1.7V 3.6V - - - - 635mW QFN R/TP 24P -  Silicon Laboratories International Pte. Ltd.,,1,EA,D,Assembly Pull,IC6801,,,1,,,,,1,N,Silicon Laboratories International Pte. Ltd.,N,
EAN64429401,4,1,Release,,2,,,,B,"IC,EEPROM","FT24C256A-ESR-T 256KBIT 32,768 x 8 (256K) 1.8VTO5.5V 5mSEC SOP-8 TRAY or REEL/TAPE 8P MSL 3  Fremont Micro Devices (HK) Ltd",,1,EA,D,Assembly Pull,IC102,,,1,,,,,1,N,Fremont Micro Devices(HONG KONG) Limited,Y,
EAN64432302,4,1,Release,1,2,,,,B,"IC,Analog Switch",SYVL68A1 2.5TO5.5V 400USEC 0SEC 0W SOT-23 REEL 5P MSL1  silergy,,1,EA,D,Assembly Pull,IC901,,,1,,,,,1,N,Silergy Corp.,Y,
EAN66321201,4,1,Release,1,3,,,,B,"IC,Voltage Converter","WT20-1809 30V ADJ 0W QFN R/TP 16P MSL 3 - - - - - - - -  DMB TECHNOLOGY CO., LTD.",,1,EA,G,Assembly Pull,IC7001,,,1,,,,,1,N,"DMB TECHNOLOGY CO., LTD.",Y,
EAN66482301,4,1,Release,1,2,,,,B,"IC,MCP,eMMC",THGAMVG7T13BAIL 16GBYTE -0.5VTO4.7V 11.5 x 13 x 0.8 T/R 153P Fusion Memory : Memory + Controller FBGA MSL3 KIOXIA Korea Corporation,,1,EA,G,Assembly Pull,IC8800,,,1,,,,,1,N,KIOXIA Korea Corporation,Y,
EAN66534401,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"IC,DC,DC Converter","TPS56C231LRNNR 4.5 to 17 0.6 to 5.5 0W VQFN TRAY or REEL/TAPE 18P MSL 2 Buck 1 12 146UA N/A Yes Converter - TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",,1,EA,D,Assembly Pull,IC2301,,,1,,,,,1,N,"TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",Y,
EAN66549001,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"IC,Analog Switch","TPS2065DDBVR 4.5V To 5.5V 0SEC 0SEC 0W SOT-23 R/TP 5P -  TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",,1,EA,D,Assembly Pull,IC4700,,,1,,,,,1,N,"TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",Y,
EAN66551502,4,1,Working,,2,,,,B,"IC,PMIC","LEPM24A 8.6 To 15.9 Adj 0W QFN TRAY or REEL/TAPE 72P MSL 3, Delay Buffer ADD - - - - - - - - RICHTEK TECHNOLOGY CORP.",,1,EA,D,Assembly Pull,IC8001,,,1,,,,,1,N,RICHTEK TECHNOLOGY CORP.,Y,
EAN66586401,4,1,Release,,2,,,,B,"IC,LDO Voltage Regulator","TLV75901PDRVR 1.5V TO 6.0V Adj. 1W WSON R/TP 6P MSL 1 - - - - - - - -  TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",,3,EA,D,Assembly Pull,"IC1600,IC1900,IC8100",,,1|1|1,||,,,,3,N,"TEXAS INSTRUMENTS KOREA LTD, HONGKONG BRANCH.",Y,
EAN66602901,4,1,Working,,2,,KAMILA KRAJEWSKA(kamila.krajewska),,B,"IC,Load Switch","ET20170 4.5TO18V 42mSEC 4mSEC 0W VSON T/REEL 10P Lactch up TI EAN64370302 Complete Multi MSL1 WUXI ETEK MICROELECTRONICS CO., LTD.",,1,EA,D,Assembly Pull,IC7100,,,1,,,,,1,N,"WUXI ETEK MICROELECTRONICS CO., LTD.",Y,
EAN66603501,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"IC,Ambient Light Sensor",VEML3235OA3OZ SIDE VIEW TYPE 2.95X1.5X1.5mm OPLGA R/TP 4P MSL3  VISHAY INTERTECHNOLOGY ASIA PTE LTD,,1,EA,D,Assembly Pull,IC9700,,,1,,,,,1,N,VISHAY INTERTECHNOLOGY ASIA PTE LTD,Y,
EAP60778312,4,1,Release,,3,,,,B,"Inductor,Multilayer,Chip",SDCL1005CR27JTDF 270NH 5% 0V 100mA - - 4.5OHM 400mHZ 8 SHIELD 1 1.0X0.5X0.5MM R/TP SHENZHEN SUNLORD ELECTRONICS CO.LTD,,5,EA,D,Assembly Pull,"L6800,L6802,L6803,L6804,L6805",,,1|1|1|1|1,||||,,,,5,N,SHENZHEN SUNLORD ELECTRONICS CO.LTD,N,
EAP60778315,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Inductor,Multilayer,Chip",SDCL1005CR18JTDF 180NH 5% 0V 150mA - - 3.7OHM 500MHZ 8 SHIELD 1 1.0X0.5X0.5MM R/TP SHENZHEN SUNLORD ELECTRONICS CO.LTD,,1,EA,D,Assembly Pull,L6801,,,1,,,,,1,N,SHENZHEN SUNLORD ELECTRONICS CO.LTD,Y,
EAP65069401,4,1,Release,1,2,,,,B,"Inductor,Wire Wound,Chip","LPH6050T-150M-ER 15UH 20% - 3mA 3.3 3 88m - - SHIELD 6.0X6.0X5.0mm - R/TP ABCO ELECTRONICS CO.,LTD",,1,EA,G,Assembly Pull,L7000,,,1,,,,,1,N,"ABCO ELECTRONICS CO.,LTD",Y,
EAP65276402,4,1,Release,1,2,,,,B,"Inductor,Wire Wound,Chip",HPC5040NF-100M 10UH 20% - 2.4A 2.3 2 67m - - SHIELD 5.0x5.0x4.5MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,3,EA,D,Assembly Pull,"L8001,L8004,L8005",,,1|1|1,||,,,,3,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
