Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
0CH5220K618,4,1.1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0402N220J500LT 22 pF 5% 50V C0G -55TO+125C 1005 R/TP - -  PILKOR CND CO.,LTD.",,1,EA,D,Assembly Pull,C7110,,,1,,,,,1,N,"PILKOR CND CO.,LTD.",Y,
0CH5470K618,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0402N470J500LT 47 pF 5% 50V C0G -55TO+125C 1005 R/TP - -  PILKOR CND CO.,LTD.",,4,EA,D,Assembly Pull,"C6800,C6823,C8095,C8096",,,1|1|1|1,|||,,,,4,N,"PILKOR CND CO.,LTD.",Y,
0CK101BK4EA,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CL05C101JB5NNNC 100 pF 5% 50V C0G -55TO+125C 1005 TP - -  SAMSUNG ELECTRO-MECHANICS CO., LTD.",,7,EA,G,Assembly Pull,"C1008,C1009,C1010,C1011,C1012,C4110,C6830",,,1|1|1|1|1|1|1,||||||,,,,7,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
0CK102BK56A,4,1.5,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0402B102K500CT 1 nF 10% 50V X7R -55TO+125C 1005 TP - -  PILKOR CND CO.,LTD.",,3,EA,D,Assembly Pull,"C6827,C6828,C8069",,,1|1|1,||,,,,3,N,"PILKOR CND CO.,LTD.",Y,
0CK104BF56A,4,1.2,Release,1.1,3,,,,B,"Capacitor,Ceramic,Chip",C1005X7R104KET 100 nF 10% 16V X7R -55TO+125C 1005 R/TP - -  DARFON ELECTRONICS CORP.,,56,EA,G,Assembly Pull,"C102,C1300,C1301,C1400,C1900,C1901,C202,C203,C213,C214,C215,C216,C2329,C234,C235,C237,C238,C3304,C3309,C3312,C374,C376,C379,C394,C395,C399,C406,C4100,C4101,C4125,C443,C444,C5001,C6817,C6818,C6819,C6831,C6832,C6833,C6836,C6837,C6838,C6839,C6840,C7017,C803,C8101,C8102,C8104,C8105,C8804,C8805,C901,C903,C904,C905",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||||||||||||||||||||||||||||||||||||||||||||||,,,,56,N,"COWELL FASHION CO., LTD",Y,
0CK104BH56A,4,1.1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005X7R104K250N 100 nF 10% 25V X7R -55TO+125C 1005 TP - -  SAMWHA CAPACITOR CO, LTD.",,24,EA,D,Assembly Pull,"C1501,C1511,C1702,C1705,C2102,C2118,C2319,C2325,C2328,C2351,C2502,C2508,C5319,C5320,C6532,C6807,C7000,C8053,C9105,C9109,C9700,C9701,C9702,C9704",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||||||||||||||,,,,24,N,"SAMWHA CAPACITOR CO, LTD.",Y,
0CK104CK56A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0603B104K500CT 100 nF 10% 50V X7R -55TO+125C 1608 TP - -  PILKOR CND CO.,LTD.",,6,EA,G,Assembly Pull,"C1403,C657,C7008,C7010,C7012,C8045",,,1|1|1|1|1|1,|||||,,,,6,N,"PILKOR CND CO.,LTD.",Y,
0CK105CD56A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip",C1608X7R1A105KT000E 1 uF 10% 10V X7R -55TO+125C 1608 TP - -  TDK CORPORATION,,13,EA,G,Assembly Pull,"C1600,C1906,C1907,C3303,C3307,C4702,C5308,C5309,C5332,C656,C6806,C8052,C906",,,1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||,,,,13,N,TDK CORPORATION,Y,
0CK105CK56A,4,1.1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1608X7R105K250NRB 1 uF 10% 25V X7R -55TO+125C 1608 R/TP - -  SAMWHA CAPACITOR CO, LTD.",,8,EA,G,Assembly Pull,"C7112,C8078,C9100,C9104,C9106,C9107,C9108,C9110",,,1|1|1|1|1|1|1|1,|||||||,,,,8,N,"COWELL FASHION CO., LTD",Y,
0CK122BK56A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0402B122K500CT 1.2 nF 10% 50V X7R -55TO+125C 1005 TP - -  PILKOR CND CO.,LTD.",,5,EA,G,Assembly Pull,"C6802,C6805,C6809,C6810,C6811",,,1|1|1|1|1,||||,,,,5,N,"PILKOR CND CO.,LTD.",N,
