"Designator","Part Number"
"C832","0CK104BF56A"
"C833","0CK104BF56A"
"C834","0CK104BF56A"
"C835","0CK104BF56A"
"C836","0CK104BF56A"
"C8800",""
"C8801",""
"C8802",""
"C8803",""
"C8804",""
"C8805",""
"C8806",""
"C8807",""
"C8808",""
"C8809",""
"C8810",""
"C8811",""
"C8812",""
"C8839",""
"C8840",""
"C8841",""
"C9086",""
"D101",""
"D3202",""
"D3203",""
"D5301",""
"D5302",""
"D5303",""
"D5310",""
"D5311",""
"D5312",""
"D6102",""
"D6103",""
"D6104",""
"D6105",""
"D701",""
"D702",""
"D703",""
"D704",""
"D705",""
"D706",""
"F5001",""
"IC1003",""
"IC1004",""
"IC101",""
"IC102",""
"IC1102",""
"IC1300",""
"IC1400",""
"IC1503",""
"IC1600",""
"IC1602",""
"IC1603",""
"IC1700",""
"IC1800",""
"IC2000",""
"IC2100",""
"IC2200",""
"IC3200",""
"IC3204",""
"IC3205",""
"IC3206",""
"IC3207",""
"IC400",""
"IC4000",""
"IC401",""
"IC4100",""
"IC5001",""
"IC501",""
"IC502",""
"IC5300",""
"IC5508",""
"IC601",""
"IC6100",""
"IC6101",""
"IC6102",""
"IC6103",""
"IC6104",""
"IC6105",""
"IC6106",""
"IC6107",""
"IC6108",""
"IC6109",""
"IC7001",""
"IC7002",""
"IC7003",""
"IC701",""
"IC702",""
"IC703",""
"IC7100",""
"IC7101",""
"IC7609",""
"IC7611",""
"IC7612",""
"IC8800",""
"JK4101",""
"JK4102",""
"JK4103",""
"JK4201",""
"JK5302",""
"JK5501",""
"JK6100",""
"JK6101",""
"JK6102",""
"JK702",""
"JK703",""
"JK820",""
"JP1009",""
"JP1010",""
"JP1011",""
"JP1012",""
"JP1013",""
"JP1014",""
"JP1015",""
"JP1016",""
"JP200",""
"JP201",""
"JP202",""
"JP203",""
"JP3207",""
"JP3208",""
"JP3212",""
"JP3213",""
"JP3216",""
"JP4103",""
"JP4104",""
"JP4105",""
"JP4106",""
"JP4114",""
"JP4115",""
"JP4116",""
"JP4117",""
"JP4118",""
"JP4119",""
"JP4120",""
"JP4131",""
"JP4132",""
"JP4133",""
"JP4134",""
"JP4135",""
"JP4201",""
"JP5304",""
"JP5305",""
"JP5306",""
"JP6110",""
"JP6111",""
"JP6112",""
"JP6113",""
"JP6114",""
"JP6115",""
"JP6116",""
"JP6117",""
"JP7653",""
"JP7654",""
"JP7655",""
"JP7656",""
"JP820",""
"JP821",""
"JP822",""
"L1006",""
"L1008",""
"L1012",""
"L1017",""
"L1018",""
"L1019",""
"L1020",""
"L1100",""
"L1400",""
"L1401",""
"L1402",""
"L1506",""
"L1507",""
"L1508",""
"L1600",""
"L1601",""
"L1602",""
"L1603",""
"L1604",""
"L1700",""
"L1701",""
"L1702",""
"L1800",""
"L1801",""
"L1802",""
"L2000",""
"L2001",""
"L2002",""
"L2100",""
"L2101",""
"L2102",""
"L2200",""
"L2201",""
"L2202",""
"L302",""
"L303",""
"L304",""
"L305",""
"L5300",""
"L5301",""
"L5302",""
"L5303",""
"L5304",""
"L5306",""
"L604",""
"L605",""
"L607",""
"L608",""
"L6100",""
"L6104",""
"L611",""
"L613",""
"L615",""
"L616",""
"L7003",""
"L7004",""
"L7005",""
"L7006",""
"L7007",""
"L7008",""
"L7011",""
"L7012",""
"L7014",""
"L7101",""
"L7102",""
"L7103",""
"L7104",""
"L7105",""
"L7106",""
"L7107",""
"L7108",""
"L7203",""
"L7204",""
"L7205",""
"L7206",""
