M16P3,,,,,,,,,,,,
Designator,IC_Pin_No.,Function,Version,Group,Direction,Channel_Name,Polarity,Target_Impedance(ohm),Min_Spec(ohm),Max_Spec(ohm),Net_Name,IC_Pin_Name
IC5001,C16,HDMI,2_0,HDMI1,RX,CLK,M,100,90,110,HDMI1_RXC-,
IC5001,B16,HDMI,2_0,HDMI1,RX,CLK,P,100,90,110,HDMI1_RXC+,
IC5001,C15,HDMI,2_0,HDMI1,RX,DATA0,M,100,90,110,HDMI1_RX0-,
IC5001,A15,HDMI,2_0,HDMI1,RX,DATA0,P,100,90,110,HDMI1_RX0+,
IC5001,C14,HDMI,2_0,HDMI1,RX,DATA1,M,100,90,110,HDMI1_RX1-,
IC5001,B14,HDMI,2_0,HDMI1,RX,DATA1,P,100,90,110,HDMI1_RX1+,
IC5001,B13,HDMI,2_0,HDMI1,RX,DATA2,M,100,90,110,HDMI1_RX2-,
IC5001,A13,HDMI,2_0,HDMI1,RX,DATA2,P,100,90,110,HDMI1_RX2+,
